Gene,Pearson Correlation
rna_A1BG,0.6279541922310707
rna_A1BG-AS1,0.5885374922087687
rna_A2M,0.7306208755758125
rna_A2M-AS1,0.7395145595597203
rna_A2ML1,0.2757384223833089
rna_A4GALT,0.41105584589323
rna_AAAS,0.5642150671875872
rna_AACS,0.4461003241000986
rna_AADAT,0.6275898630684794
rna_AAGAB,0.4043213319463196
rna_AAK1,0.5792520187844814
rna_AAMDC,0.4876386675650716
rna_AAMP,0.38981322052108125
rna_AANAT,0.36944133928359707
rna_AAR2,0.33239426252343257
rna_AARD,0.5266533360530625
rna_AARS1,0.42297441097105865
rna_AARS2,0.5920263548477126
rna_AARSD1,0.6249810157720177
rna_AASDH,0.47261787736492633
rna_AASDHPPT,0.37366701539506786
rna_AASS,0.4045604490808771
rna_AATBC,0.5133687485896125
rna_AATF,0.534923146293881
rna_AATK,0.5172546705713779
rna_ABAT,0.4773420637613555
rna_ABCA1,0.8324429361067716
rna_ABCA10,0.5739994443611947
rna_ABCA12,0.3214983701762516
rna_ABCA13,0.37734711912578833
rna_ABCA2,0.4932403255762542
rna_ABCA3,0.2071509364750841
rna_ABCA4,0.41397779803941914
rna_ABCA5,0.663640122910525
rna_ABCA6,0.279047380465428
rna_ABCA7,0.3895223370477563
rna_ABCA8,0.6189050488387088
rna_ABCA9,0.45208477176836714
rna_ABCB1,0.6790246831798687
rna_ABCB10,0.43830938243313117
rna_ABCB11,0.33493209623623565
rna_ABCB4,0.5269748925247725
rna_ABCB5,0.4088657453814492
rna_ABCB6,0.5760875976564301
rna_ABCB7,0.49341332410317684
rna_ABCB8,0.46563628050821615
rna_ABCB9,0.4991227692600877
rna_ABCC1,0.6326739215592989
rna_ABCC10,0.5474645386501255
rna_ABCC11,0.4120946940221376
rna_ABCC2,0.6851410221331694
rna_ABCC3,0.49468753967327883
rna_ABCC4,0.543029691136606
rna_ABCC5,0.5393789289303067
rna_ABCC6,0.7600025117663063
rna_ABCC8,0.5180345669531156
rna_ABCC9,0.6150128178319785
rna_ABCD1,0.4148015843769389
rna_ABCD2,0.5584256111769983
rna_ABCD3,0.6015382709912708
rna_ABCD4,0.6387171982504662
rna_ABCE1,0.5375190027449109
rna_ABCF1,0.47879440415385954
rna_ABCF2,0.5316881101287136
rna_ABCF3,0.3127712373161204
rna_ABCG1,0.5452440499280372
rna_ABCG2,0.2749999521286053
rna_ABCG4,0.41010704587249236
rna_ABCG5,0.5959720797002792
rna_ABCG8,0.792036905649444
rna_ABHD1,0.49207094164413956
rna_ABHD10,0.3776954458424182
rna_ABHD11,0.4481568916144639
rna_ABHD12,0.4940459726802827
rna_ABHD12B,0.1164273717745298
rna_ABHD13,0.4245643780999868
rna_ABHD14A,0.6130880768422784
rna_ABHD14A-ACY1,0.5095257554245344
rna_ABHD14B,0.5601322532190577
rna_ABHD15,0.38437532283554127
rna_ABHD16A,0.4623475982599785
rna_ABHD17A,0.5252252503243203
rna_ABHD17B,0.447385278276945
rna_ABHD17C,0.468540297648492
rna_ABHD18,0.6207940410689751
rna_ABHD2,0.31367486874319844
rna_ABHD3,0.6555647290721922
rna_ABHD4,0.38677142742017534
rna_ABHD5,0.5212888335588461
rna_ABHD6,0.5531197154158111
rna_ABHD8,0.6462570909530468
rna_ABI1,0.3712196157150434
rna_ABI2,0.501594848011949
rna_ABI3,0.7047492204204775
rna_ABI3BP,0.6588224619056979
rna_ABITRAM,0.4308752455778614
rna_ABL1,0.6943734415545342
rna_ABL2,0.5942957212909823
rna_ABLIM1,0.634486804714681
rna_ABLIM2,0.3366084035459111
rna_ABLIM3,0.46541695374780034
rna_ABO,0.3453514326273308
rna_ABR,0.6397927618835715
rna_ABRACL,0.4896428523289873
rna_ABRAXAS1,0.6427098211145927
rna_ABRAXAS2,0.3792465079435936
rna_ABT1,0.4681750954365043
rna_ABTB1,0.45429590209057913
rna_ABTB2,0.4277878102164211
rna_AC000068.1,0.4770660015028552
rna_AC000068.2,0.5115975627698716
rna_AC000072.1,0.4737243944272292
rna_AC000085.1,0.3511822217420939
rna_AC000093.1,0.6122909028259146
rna_AC000120.1,0.9513487333881799
rna_AC000123.1,0.7939597998354032
rna_AC000403.1,0.46005336263057767
rna_AC001226.1,0.4877241543987905
rna_AC001226.2,0.9642765787553922
rna_AC002059.1,0.6122574460084729
rna_AC002070.1,0.32457166396662795
rna_AC002091.1,0.45355357459294254
rna_AC002091.2,0.4265750024154461
rna_AC002116.2,0.5294133222224009
rna_AC002128.1,0.8372564460953602
rna_AC002128.2,0.7799551375375576
rna_AC002310.1,0.6503024265927962
rna_AC002347.1,0.7773368156032884
rna_AC002398.1,0.6039950631278995
rna_AC002451.1,0.9594510687741985
rna_AC002456.1,0.2438813013267594
rna_AC002463.1,0.45329358713179224
rna_AC002467.1,0.48909229121578157
rna_AC002470.1,0.4134578184842854
rna_AC002480.1,0.3786684869668974
rna_AC002480.2,0.28028453075346016
rna_AC002519.1,0.6274916762761773
rna_AC002542.6,0.6330109707291736
rna_AC002550.2,0.6609742840894661
rna_AC002553.1,0.7507688775989292
rna_AC002553.2,0.8603889295305244
rna_AC003002.2,0.5119144550478867
rna_AC003070.1,0.5926342251193502
rna_AC003086.1,0.5019426921362365
rna_AC003101.2,0.4336978232909631
rna_AC003102.1,0.670634824704561
rna_AC003681.1,0.9853226011070778
rna_AC003956.1,0.6251422243447685
rna_AC003965.1,0.4113833217367311
rna_AC004000.1,0.7932379748583183
rna_AC004034.1,0.43005725212071544
rna_AC004039.1,0.9058262064821527
rna_AC004067.1,0.456597239677064
rna_AC004069.1,0.5409278841155203
rna_AC004076.2,0.7082114697982422
rna_AC004112.1,0.8139289922663718
rna_AC004130.2,0.4010696200246936
rna_AC004148.1,0.7586272695599783
rna_AC004156.1,0.2836002286389312
rna_AC004160.1,0.7245630961080158
rna_AC004223.2,0.937151394569967
rna_AC004223.4,0.6180203113521149
rna_AC004233.1,0.6735081133482508
rna_AC004233.2,0.4897520822123609
rna_AC004233.3,0.13397402050040189
rna_AC004241.1,0.5259567658421416
rna_AC004241.2,0.4673051280182935
rna_AC004241.3,0.6078910909665964
rna_AC004253.1,0.5089538299254059
rna_AC004263.1,0.612429592418934
rna_AC004263.2,0.657202267496715
rna_AC004264.1,0.3642059894875556
rna_AC004381.1,0.6129119059996943
rna_AC004449.1,0.7708156063118026
rna_AC004461.2,0.8299263135939324
rna_AC004471.1,0.7043522190868001
rna_AC004477.2,0.6949456814420958
rna_AC004492.1,0.9152447967704567
rna_AC004494.1,0.5571437327901619
rna_AC004522.5,0.5432222638077822
rna_AC004540.1,0.6391447416966866
rna_AC004540.2,0.8569515553245686
rna_AC004554.1,0.7181621761075139
rna_AC004584.1,0.5180552183678137
rna_AC004585.1,0.38251130329044514
rna_AC004594.1,0.9924368777267261
rna_AC004596.1,0.5875931288070457
rna_AC004687.1,0.31458074579619516
rna_AC004687.2,0.4871507872433063
rna_AC004706.1,0.5585325127215903
rna_AC004706.3,0.5064476680733637
rna_AC004765.1,0.949893445157947
rna_AC004771.2,0.5000288593943907
rna_AC004801.6,0.6736085690569156
rna_AC004803.1,0.6438671523104562
rna_AC004812.2,0.5537489566701917
rna_AC004816.1,0.31297403850069344
rna_AC004816.2,0.45740597798923044
rna_AC004825.2,0.5078624706342685
rna_AC004825.3,0.9891349550792023
rna_AC004830.2,0.4445473688422824
rna_AC004832.4,0.8573271395947677
rna_AC004832.5,0.900389953509005
rna_AC004832.6,0.48867359346247274
rna_AC004834.1,0.5252059542132038
rna_AC004837.2,0.8624924225232139
rna_AC004837.4,0.919038874552931
rna_AC004839.2,0.5999020358977433
rna_AC004846.1,0.532649892263728
rna_AC004846.2,0.5320865368590068
rna_AC004847.1,0.45319101678905643
rna_AC004854.2,0.32216894170720856
rna_AC004863.1,0.6889731475928952
rna_AC004877.1,0.7109633752854514
rna_AC004882.3,0.8180450949647423
rna_AC004884.2,0.9903643822034518
rna_AC004893.2,0.9235303513776585
rna_AC004895.1,0.5311947306275145
rna_AC004900.1,0.5005309593387954
rna_AC004908.1,0.5665129157850289
